city,project,country,state,province,link,slug,id
Macao,Macao SAR,China,,Macao SAR,https://www.inaturalist.org/projects/city-nature-challenge-2026-macao,city-nature-challenge-2026-macao,265801.0
Majune,Majune,Mozambique,,Niassa,https://www.inaturalist.org/projects/city-nature-challenge-2026-majune,city-nature-challenge-2026-majune,274880.0
Mancha Khiri,"city nature challenge 2026:Mancha Khiri,Khon Kaen",Thailand,,Khon Kaen / Mancha Khiri,https://www.inaturalist.org/projects/city-nature-challenge-2026-mancha-khiri-thailand-406dbb89-fd55-498e-80e4-f31d4113adb2,city-nature-challenge-2026-mancha-khiri-thailand-406dbb89-fd55-498e-80e4-f31d4113adb2,275743.0
Manchester,Manchester,United States of America,New Hampshire,,https://www.inaturalist.org/projects/city-nature-challenge-2026-manchester-nh,city-nature-challenge-2026-manchester-nh,272325.0
Mandlakazi,Mandlakazi,Mozambique,,Maputo,https://www.inaturalist.org/projects/city-nature-challenge-2026-mandlakazi,city-nature-challenge-2026-mandlakazi,274481.0
Marawi City,"Marawi City, Philippines",Philippines,,Lanao del Sur,https://www.inaturalist.org/projects/city-nature-challenge-2026-marawi-city-philippines,city-nature-challenge-2026-marawi-city-philippines,275362.0
Marquette,Marquette,United States of America,Michigan,,https://www.inaturalist.org/projects/city-nature-challenge-2026-marquette-mi,city-nature-challenge-2026-marquette-mi,264313.0
Marracuene,Marracuene,Mozambique,,Maputo,https://www.inaturalist.org/projects/city-nature-challenge-2026-marracuene,city-nature-challenge-2026-marracuene,274472.0
Marromeu,Marromeu,Mozambique,,Sofala,https://www.inaturalist.org/projects/city-nature-challenge-2026-marromeu,city-nature-challenge-2026-marromeu,274495.0
Marrupa,Marrupa,Mozambique,,Niassa,https://www.inaturalist.org/projects/city-nature-challenge-2026-marrupa,city-nature-challenge-2026-marrupa,274881.0
Marseille,Marseille des collines à la mer,France,,Provence Alpes Cote d'Azur,https://www.inaturalist.org/projects/city-nature-challenge-2026-marseille-des-collines-a-la-mer,city-nature-challenge-2026-marseille-des-collines-a-la-mer,266229.0
Mati City,"Mati City, Philippines",Philippines,,Davao Oriental,https://www.inaturalist.org/projects/city-nature-challenge-2026-mati-city-philippines,city-nature-challenge-2026-mati-city-philippines,274096.0
Matola,Matola,Mozambique,,Maputo,https://www.inaturalist.org/projects/city-nature-challenge-2026-matola,city-nature-challenge-2026-matola,274470.0
Matutíne,Matutíne,Mozambique,,Maputo,https://www.inaturalist.org/projects/city-nature-challenge-2026-matutuine,city-nature-challenge-2026-matutuine,274474.0
Mavago,Mavago,Mozambique,,Niassa,https://www.inaturalist.org/projects/city-nature-challenge-2026-mavago,city-nature-challenge-2026-mavago,274879.0
Mecula,Mecula,Mozambique,,Niassa,https://www.inaturalist.org/projects/city-nature-challenge-2026-mecula,city-nature-challenge-2026-mecula,274878.0
Memphis,Memphis-Shelby County,United States of America,Tennessee,,https://www.inaturalist.org/projects/city-nature-challenge-2026-memphis-shelby-county,city-nature-challenge-2026-memphis-shelby-county,265094.0
Mérida,Mérida Metropolitana,Mexico,,Yucatán,https://www.inaturalist.org/projects/city-nature-challenge-2026-merida-metropolitana-yucatan,city-nature-challenge-2026-merida-metropolitana-yucatan,
Toulouse,Midi Occitan,France,,Occitanie,https://www.inaturalist.org/projects/city-nature-challenge-2026-midi-occitan,city-nature-challenge-2026-midi-occitan,229716.0
Milazzo,Milazzo - Valle del Mela,Italy,,Messina,https://www.inaturalist.org/projects/city-nature-challenge-2026-milazzo-valle-del-mela,city-nature-challenge-2026-milazzo-valle-del-mela,265080.0
Millville,Millville,United States of America,New Jersey,,https://www.inaturalist.org/projects/city-nature-challenge-2026-millville-nj,city-nature-challenge-2026-millville-nj,274571.0
Place the pin on the University of Minnesota St Paul campus,Minneapolis-St. Paul,United States of America,Minnesota,,https://www.inaturalist.org/projects/city-nature-challenge-2026-minneapolis-st-paul,city-nature-challenge-2026-minneapolis-st-paul,270066.0
Hyderabad,Hyderabad,India,,Telangana,https://www.inaturalist.org/projects/city-nature-challenge-2026-hyderabad,city-nature-challenge-2026-hyderabad,264362.0
Jaffrey,Monadnock Region,United States of America,New Hampshire,,https://www.inaturalist.org/projects/city-nature-challenge-2026-monadnock-region,city-nature-challenge-2026-monadnock-region,270590.0
Elkins,Monongahela Forest Towns,United States of America,West Virginia,,https://www.inaturalist.org/projects/city-nature-challenge-2026-monongahela-forest-towns,city-nature-challenge-2026-monongahela-forest-towns,265891.0
Pisa,Monte Pisano,Italy,,Tuscany,https://www.inaturalist.org/projects/city-nature-challenge-2026-monte-pisano-cluster-biodiversita-italia,city-nature-challenge-2026-monte-pisano-cluster-biodiversita-italia,275010.0
Moss Landing,Monterey and Santa Cruz Counties,United States of America,California,,https://www.inaturalist.org/projects/city-nature-challenge-2026-monterey-and-santa-cruz-counties,city-nature-challenge-2026-monterey-and-santa-cruz-counties,265442.0
Moscow,Moscow,Russia,,Moscow,https://www.inaturalist.org/projects/city-nature-challenge-2026-moscow,city-nature-challenge-2026-moscow,264793.0
Mossuril,Mossuril,Mozambique,,Nampula,https://www.inaturalist.org/projects/city-nature-challenge-2026-mossuril,city-nature-challenge-2026-mossuril,274487.0
Muang Sungaikolok,Muang Sungaikolok,Thailand,,Narathiwat,https://www.inaturalist.org/projects/city-nature-challenge-2026-muang-sungaikolok-thailand,city-nature-challenge-2026-muang-sungaikolok-thailand,275031.0
Muang Chiang Mai,Mueang Chiang Mai,Thailand,,Chiang Mai Province,https://www.inaturalist.org/projects/city-nature-challenge-2026-mueang-chiang-mai,city-nature-challenge-2026-mueang-chiang-mai,271021.0
Mueang Phitsanulok,Mueang Phitsanulok,Thailand,,Phitsanulok province,https://www.inaturalist.org/projects/city-nature-challenge-2026-mueang-phitsanulok,city-nature-challenge-2026-mueang-phitsanulok,273667.0
Prachinburi,Prachinburi,Thailand,,Prachinburi Province,https://www.inaturalist.org/projects/city-nature-challenge-2026-mueang-prachinburi-thailand,city-nature-challenge-2026-mueang-prachinburi-thailand,274913.0
Indore,Indore,India,,Madhya Pradesh,https://www.inaturalist.org/projects/city-nature-challenge-2026-indore,city-nature-challenge-2026-indore,269068.0
Port Aransas,Mustang Island/Port Aransas,United States of America,Texas,,https://www.inaturalist.org/projects/city-nature-challenge-2026-mustang-island-texas,city-nature-challenge-2026-mustang-island-texas,265231.0
Mykolaiv,Mykolaiv,Ukraine,,Mykolaiv,https://www.inaturalist.org/projects/city-nature-challenge-2026-mykolaiv,city-nature-challenge-2026-mykolaiv,274690.0
Nacala,Nacala Velha,Mozambique,,Nampula,https://www.inaturalist.org/projects/city-nature-challenge-2026-nacala,city-nature-challenge-2026-nacala,274475.0
Muang Nakhon Si Thammarat,City Nature Challenge 2026: Nakhon Si Thammarat,Thailand,,Nakhon Si Thammarat,https://www.inaturalist.org/projects/city-nature-challenge-2026-nakhon-si-thammarat,city-nature-challenge-2026-nakhon-si-thammarat,275019.0
Keralam,Keralam,India,,Keralam,https://www.inaturalist.org/projects/city-nature-challenge-2026-keralam,city-nature-challenge-2026-keralam,267317.0
Nashua,Nashua,United States of America,New Hampshire,,https://www.inaturalist.org/projects/city-nature-challenge-2026-nashua-nh,city-nature-challenge-2026-nashua-nh,272323.0
Nashville,Nashville,United States of America,Tennessee,,https://www.inaturalist.org/projects/city-nature-challenge-2026-nashville-tn,city-nature-challenge-2026-nashville-tn,263988.0
Philipsburg,Sint Maarten,Netherlands,,Sint Maarten,https://www.inaturalist.org/projects/city-nature-challenge-2026-nature-foundation-sint-maarten,city-nature-challenge-2026-nature-foundation-sint-maarten,277712.0
Chicle,Navajo Nation,United States of America,"Arizona, New Mexico, Utah",,https://www.inaturalist.org/projects/city-nature-challenge-2026-navajo-nation,city-nature-challenge-2026-navajo-nation,275563.0
Nelson Mandela Bay,Nelson Mandela Bay,South Africa,,Eastern Cape,https://www.inaturalist.org/projects/city-nature-challenge-2026-nelson-mandela-bay,city-nature-challenge-2026-nelson-mandela-bay,277299.0
New Bedford,New Bedford,United States of America,Massachusetts,,https://www.inaturalist.org/projects/city-nature-challenge-2026-new-bedford,city-nature-challenge-2026-new-bedford,
Kolhapur,Kolhapur District,India,,Maharashtra,https://www.inaturalist.org/projects/city-nature-challenge-2026-kolhapur-district,city-nature-challenge-2026-kolhapur-district,273901.0
New York City,New York City,United States of America,New York,,https://www.inaturalist.org/projects/city-nature-challenge-2026-new-york-city,city-nature-challenge-2026-new-york-city,242360.0
Newport News,Newport News,United States of America,Virginia,,https://www.inaturalist.org/projects/city-nature-challenge-2026-newport-news,city-nature-challenge-2026-newport-news,269703.0
New Taipei City,NewTaipei-keelung,Taiwan,,-,https://www.inaturalist.org/projects/city-nature-challenge-2026-newtaipei-keelung,city-nature-challenge-2026-newtaipei-keelung,272356.0
Lebanon,NH's Upper Valley,United States of America,New Hampshire,,https://www.inaturalist.org/projects/city-nature-challenge-2026-nh-s-upper-valley,city-nature-challenge-2026-nh-s-upper-valley,269901.0
Nice,Nice,France,,Provence Alpes Cote d'Azur,https://www.inaturalist.org/projects/city-nature-challenge-2026-nice,city-nature-challenge-2026-nice,275308.0
Kota,Kota Rajasthan,India,,Rajasthan,https://www.inaturalist.org/projects/city-nature-challenge-2026-kota,city-nature-challenge-2026-kota,278376.0
Newcastle upon Tyne,North East England,England,,North East England,https://www.inaturalist.org/projects/city-nature-challenge-2026-north-east-england,city-nature-challenge-2026-north-east-england,
Scranton,Northeast Pennsylvania,United States of America,Pennsylvania,,https://www.inaturalist.org/projects/city-nature-challenge-2026-northeast-pennsylvania,city-nature-challenge-2026-northeast-pennsylvania,264819.0
Maun,Greater Northern Botswana,Botswana,,North-West District,https://www.inaturalist.org/projects/city-nature-challenge-2026-northern-botswana,city-nature-challenge-2026-northern-botswana,264066.0
Cleveland,Northern Ohio,United States of America,Ohio,,https://www.inaturalist.org/projects/city-nature-challenge-2026-northern-ohio,city-nature-challenge-2026-northern-ohio,269121.0
Shreveport,Northwest Louisiana,United States of America,Louisiana,,https://www.inaturalist.org/projects/city-nature-challenge-2026-northwest-louisiana,city-nature-challenge-2026-northwest-louisiana,264394.0
Nürnberg,"Nürnberg, Fürth, Erlangen",Germany,,Bayern,https://www.inaturalist.org/projects/city-nature-challenge-2026-nuernberg-fuerth-erlangen,city-nature-challenge-2026-nuernberg-fuerth-erlangen,
Honolulu,O‘ahu,United States of America,Hawaii,,https://www.inaturalist.org/projects/city-nature-challenge-2026-o-ahu,city-nature-challenge-2026-o-ahu,272878.0
Obukhivska Territorial Hromada,Obukhivska ter hromada,Ukraine,,Dnipropetrovsk,https://www.inaturalist.org/projects/city-nature-challenge-2026-obukhivska-ter-hromada,city-nature-challenge-2026-obukhivska-ter-hromada,274899.0
Ochakiv,Ochakiv,Ukraine,,Mykolaiv,https://www.inaturalist.org/projects/city-nature-challenge-2026-ochakiv,city-nature-challenge-2026-ochakiv,274693.0
Odesa,Odesa,Ukraine,,Odesa,https://www.inaturalist.org/projects/city-nature-challenge-2026-odesa,city-nature-challenge-2026-odesa,274698.0
Olomouc,Olomouc,Czech Republic,,Olomoucký kraj,https://www.inaturalist.org/projects/city-nature-challenge-2026-olomouc,city-nature-challenge-2026-olomouc,274877.0
Syracuse,Onondaga County,United States of America,New York,,https://www.inaturalist.org/projects/city-nature-challenge-2026-onondaga-county-new-york,city-nature-challenge-2026-onondaga-county-new-york,
Santa Ana,Orange County,United States of America,California,,https://www.inaturalist.org/projects/city-nature-challenge-2026-orange-county-ca,city-nature-challenge-2026-orange-county-ca,265675.0
Osijek,Osječko-baranjska županija,Croatia,,Osječko-baranjska županija,https://www.inaturalist.org/projects/city-nature-challenge-2026-osjecko-baranjska-zupanija,city-nature-challenge-2026-osjecko-baranjska-zupanija,271689.0
Ostrava,Ostrava,Czech Republic,,Ostrava,https://www.inaturalist.org/projects/city-nature-challenge-2026-ostrava,city-nature-challenge-2026-ostrava,269926.0
Krk,Otok Krk,Croatia,,Primorsko-goranska županija,https://www.inaturalist.org/projects/city-nature-challenge-2026-otok-krk,city-nature-challenge-2026-otok-krk,264419.0
Overberg,Overberg,South Africa,,Western Cape,https://www.inaturalist.org/projects/city-nature-challenge-2026-overberg,city-nature-challenge-2026-overberg,273213.0
Overstrand Municipality,Overstrand,South Africa,,Western Cape,https://www.inaturalist.org/projects/city-nature-challenge-2026-overstrand,city-nature-challenge-2026-overstrand,269044.0
Oxfordshire,Oxfordshire,England,,Oxfordshire,https://www.inaturalist.org/projects/city-nature-challenge-2026-oxfordshire,city-nature-challenge-2026-oxfordshire,269405.0
Pahang,Pahang,Malaysia,,Pahang,https://www.inaturalist.org/projects/city-nature-challenge-2026-pahang-malaysia,city-nature-challenge-2026-pahang-malaysia,266528.0
Palm Beach County,Palm Beach County,United States of America,Florida,,https://www.inaturalist.org/projects/city-nature-challenge-2026-palm-beach-county,city-nature-challenge-2026-palm-beach-county,271071.0
Pullman,Palouse Region,United States of America,"Idaho, Washington",,https://www.inaturalist.org/projects/city-nature-challenge-2026-palouse-region,city-nature-challenge-2026-palouse-region,273991.0
Paris,Paris - Île de France,France,,Île de France,https://www.inaturalist.org/projects/city-nature-challenge-2026-paris-ile-de-france,city-nature-challenge-2026-paris-ile-de-france,264656.0
penghu,penghu,Taiwan,,Penghu,https://www.inaturalist.org/projects/city-nature-challenge-2026-penghu,city-nature-challenge-2026-penghu,274999.0
Penza,Penza Region,Russia,,Penza Oblast,https://www.inaturalist.org/projects/city-nature-challenge-2026-penza-region,city-nature-challenge-2026-penza-region,269082.0
Novyi Starodub,"Novyi Starodub, Inguletske",Ukraine,,Petrivska,https://www.inaturalist.org/projects/city-nature-challenge-2026-petrivska-terytorialna-hromada,city-nature-challenge-2026-petrivska-terytorialna-hromada,275006.0
Pierre,Central South Dakota,United States of America,South Dakota,,https://www.inaturalist.org/projects/city-nature-challenge-2026-pierre-fort-pierre,city-nature-challenge-2026-pierre-fort-pierre,269392.0
Tucson,Pima County,United States of America,Arizona,,https://www.inaturalist.org/projects/city-nature-challenge-2026-pima-county-arizona,city-nature-challenge-2026-pima-county-arizona,270358.0
Pittsburgh,Pittsburgh Region,United States of America,Pennsylvania,,https://www.inaturalist.org/projects/city-nature-challenge-2026-pittsburgh-region,city-nature-challenge-2026-pittsburgh-region,272719.0
Plymouth,Plymouth City Nature Challenge Area,England,,South West,https://www.inaturalist.org/projects/city-nature-challenge-2026-plymouth,city-nature-challenge-2026-plymouth,270147.0
Polk County,Polk County,United States of America,Florida,,https://www.inaturalist.org/projects/city-nature-challenge-2026-polk-county,city-nature-challenge-2026-polk-county,270063.0
Potchefstroom,JB Marks Local Municipality,South Africa,,North West,https://www.inaturalist.org/projects/city-nature-challenge-2026-potchefstroom,city-nature-challenge-2026-potchefstroom,272752.0
Praha,Praha,Czech Republic,,Praha,https://www.inaturalist.org/projects/city-nature-challenge-2026-prague,city-nature-challenge-2026-prague,272755.0
Mizoram,CNC Mizoram,India,,Mizoram,https://www.inaturalist.org/projects/city-nature-challenge-2026-mizoram,city-nature-challenge-2026-mizoram,272911.0
Predazzo,"Predazzo, Valle di Fiemme e Fassa",Italy,,Trentino,https://www.inaturalist.org/projects/city-nature-challenge-2026-predazzo-cluster-biodiversita-italia,city-nature-challenge-2026-predazzo-cluster-biodiversita-italia,272173.0
Prince George,Prince George,Canada,,British Columbia,https://www.inaturalist.org/projects/city-nature-challenge-2026-prince-george-bc-canada,city-nature-challenge-2026-prince-george-bc-canada,
Mumbai,Mumbai,India,,Maharashtra,https://www.inaturalist.org/projects/city-nature-challenge-2026-mumbai,city-nature-challenge-2026-mumbai,266977.0
Quelimane,Quelimane,Mozambique,,Zambézia,https://www.inaturalist.org/projects/city-nature-challenge-2026-quelimane,city-nature-challenge-2026-quelimane,274482.0
Nanakmatta,Nanakmatta,India,,Uttarakhand,https://www.inaturalist.org/projects/city-nature-challenge-2026-nanakmatta-uttarakhand,city-nature-challenge-2026-nanakmatta-uttarakhand,267748.0
Redland City,Redland City,Australia,,Queensland,https://www.inaturalist.org/projects/city-nature-challenge-2026-redland-city-qld-australia,city-nature-challenge-2026-redland-city-qld-australia,269136.0
Regina,Regina and Area,Canada,,Saskatchewan,https://www.inaturalist.org/projects/city-nature-challenge-2026-regina-and-area,city-nature-challenge-2026-regina-and-area,273725.0
Ischia,Regno di Nettuno MPA,Italy,,Campania,https://www.inaturalist.org/projects/city-nature-challenge-2026-regno-di-nettuno-cluster-biodiversita-italia,city-nature-challenge-2026-regno-di-nettuno-cluster-biodiversita-italia,265225.0
Rehovot,Rehovot,Israel,,,https://www.inaturalist.org/projects/city-nature-challenge-2026-rehovot,city-nature-challenge-2026-rehovot,269693.0
Reno-Sparks,Reno-Sparks,United States of America,Nevada,,https://www.inaturalist.org/projects/city-nature-challenge-2026-reno-sparks,city-nature-challenge-2026-reno-sparks,273767.0
City of Lynchburg,City of Lynchburg parks,United States of America,Virginia,,https://www.inaturalist.org/projects/city-nature-challenge-2026-revivelyh-lynchburg-bioblitz,city-nature-challenge-2026-revivelyh-lynchburg-bioblitz,270750.0
Aachen,Rheinisches Revier,Germany,,Nordrhein-Westfalen,https://www.inaturalist.org/projects/city-nature-challenge-2026-rheinisches-revier,city-nature-challenge-2026-rheinisches-revier,275163.0
Richmond,Richmond,Canada,,British Columbia,https://www.inaturalist.org/projects/city-nature-challenge-2026-richmond-bc,city-nature-challenge-2026-richmond-bc,251022.0
Rivne,"Rivne, Ukraine",Ukraine,,Rivne region,https://www.inaturalist.org/projects/city-nature-challenge-2026-rivne,city-nature-challenge-2026-rivne,275121.0
Roanoke,Roanoke Valley,United States of America,Virginia,,https://www.inaturalist.org/projects/city-nature-challenge-2026-roanoke-city-county-va,city-nature-challenge-2026-roanoke-city-county-va,272553.0
Rochester Metropolitan Area,Rochester,United States of America,New York,,https://www.inaturalist.org/projects/city-nature-challenge-2026-rochester-ny,city-nature-challenge-2026-rochester-ny,264651.0
Rockford,Rock River Valley,United States of America,Illinois,,https://www.inaturalist.org/projects/city-nature-challenge-2026-rock-river-valley,city-nature-challenge-2026-rock-river-valley,265964.0
Roma,Roma,Italy,,Roma,https://www.inaturalist.org/projects/city-nature-challenge-2026-roma-italy,city-nature-challenge-2026-roma-italy,265319.0
Sacramento,Sacramento Region,United States of America,California,,https://www.inaturalist.org/projects/city-nature-challenge-2026-sacramento-region,city-nature-challenge-2026-sacramento-region,264010.0
New Delhi,New Delhi,India,,New Delhi,https://www.inaturalist.org/projects/city-nature-challenge-2026-nct-of-delhi,city-nature-challenge-2026-nct-of-delhi,275788.0
San Antonio,San Antonio Metro Area,United States of America,Texas,,https://www.inaturalist.org/projects/city-nature-challenge-2026-san-antonio-metro-area,city-nature-challenge-2026-san-antonio-metro-area,260796.0
San Diego County,San Diego County,United States of America,California,,https://www.inaturalist.org/projects/city-nature-challenge-2026-san-diego-county,city-nature-challenge-2026-san-diego-county,263173.0
San Francisco Bay Area,San Francisco Bay Area,United States of America,California,,https://www.inaturalist.org/projects/city-nature-challenge-2026-san-francisco-bay-area,city-nature-challenge-2026-san-francisco-bay-area,263576.0
San Luis Obispo,San Luis Obispo County,United States of America,California,,https://www.inaturalist.org/projects/city-nature-challenge-2026-san-luis-obispo-county,city-nature-challenge-2026-san-luis-obispo-county,271109.0
San Marcos,City of San Marcos,United States of America,Texas,,https://www.inaturalist.org/projects/city-nature-challenge-2026-san-marcos-tx,city-nature-challenge-2026-san-marcos-tx,270264.0
Santa Barbara,Santa Barbara County,United States of America,California,,https://www.inaturalist.org/projects/city-nature-challenge-2026-santa-barbara-county,city-nature-challenge-2026-santa-barbara-county,264997.0
Santa Fe,Santa Fe Area,United States of America,New Mexico,,https://www.inaturalist.org/projects/city-nature-challenge-2026-santa-fe-area,city-nature-challenge-2026-santa-fe-area,266139.0
São Paulo,São Paulo,Brazil,,São Paulo,https://www.inaturalist.org/projects/city-nature-challenge-2026-sao-paulo-e-regiao-metropolitana,city-nature-challenge-2026-sao-paulo-e-regiao-metropolitana,105565.0
Savannah Low Country and Coastal Georgia,Savannah Low Country and Coastal Georgia,United States of America,Georgia,,https://www.inaturalist.org/projects/city-nature-challenge-2026-savannah-low-country-and-coastal-georgia,city-nature-challenge-2026-savannah-low-country-and-coastal-georgia,264014.0
Seattle,Seattle-Tacoma Metropolitan Area,United States of America,Washington,,https://www.inaturalist.org/projects/city-nature-challenge-2026-seattle-tacoma-metropolitan-area,city-nature-challenge-2026-seattle-tacoma-metropolitan-area,265107.0
Sedona,Sedona,United States of America,Arizona,,https://www.inaturalist.org/projects/city-nature-challenge-2026-sedona,city-nature-challenge-2026-sedona,278908.0
Redding,Shasta County,United States of America,California,,https://www.inaturalist.org/projects/city-nature-challenge-2026-shasta-county,city-nature-challenge-2026-shasta-county,274620.0
Sherbrooke,Sherbrooke,Canada,,Québec,https://www.inaturalist.org/projects/city-nature-challenge-2026-sherbrooke,city-nature-challenge-2026-sherbrooke,274924.0
Siena,Siena,Italy,,Tuscany,https://www.inaturalist.org/projects/city-nature-challenge-2026-siena-cluster-biodiversita-italia,city-nature-challenge-2026-siena-cluster-biodiversita-italia,
Silver City,Silver City,United States of America,New Mexico,,https://www.inaturalist.org/projects/city-nature-challenge-2026-silver-city-area,city-nature-challenge-2026-silver-city-area,270278.0
Skokie,Skokie,United States of America,Illinois,,https://www.inaturalist.org/projects/city-nature-challenge-2026-skokie-illinois,city-nature-challenge-2026-skokie-illinois,271084.0
Slavuta,Slavuta hromada,Ukraine,,Khmelnytskyi,https://www.inaturalist.org/projects/city-nature-challenge-2026-slavuta-hromada,city-nature-challenge-2026-slavuta-hromada,277623.0
Smolensk,Smolensk,Russia,,Smolensk,https://www.inaturalist.org/projects/city-nature-challenge-2026-smolensk,city-nature-challenge-2026-smolensk,264795.0
Smolinska Hromada,Smolinska Hromada,Ukraine,,Smoline,https://www.inaturalist.org/projects/city-nature-challenge-2026-smolinska-hromada,city-nature-challenge-2026-smolinska-hromada,274911.0
Madison,South Central Wisconsin,United States of America,Wisconsin,,https://www.inaturalist.org/projects/city-nature-challenge-2026-south-central-wisconsin,city-nature-challenge-2026-south-central-wisconsin,269505.0
Miami,South Florida,United States of America,Florida,,https://www.inaturalist.org/projects/city-nature-challenge-2026-south-florida-cncsoflo,city-nature-challenge-2026-south-florida-cncsoflo,264352.0
Nicobar,NICOBAR,India,,Andaman And Nicobar Islands,https://www.inaturalist.org/projects/city-nature-challenge-2026-nicobar-a-n,city-nature-challenge-2026-nicobar-a-n,278470.0
Kanye,Southern Botswana,Botswana,,Southern Botswana,https://www.inaturalist.org/projects/city-nature-challenge-2026-southern-botswana,city-nature-challenge-2026-southern-botswana,270716.0
Lake Charles,Southwest Louisiana,United States of America,Louisiana,,https://www.inaturalist.org/projects/city-nature-challenge-2026-southwest-louisiana,city-nature-challenge-2026-southwest-louisiana,271205.0
Abingdon,Southwest Virginia,United States of America,Virginia,,https://www.inaturalist.org/projects/city-nature-challenge-2026-southwest-virginia,city-nature-challenge-2026-southwest-virginia,269103.0
Springfield,Springfield,United States of America,Massachusetts,,https://www.inaturalist.org/projects/city-nature-challenge-2026-springfield,city-nature-challenge-2026-springfield,269954.0
Saint Louis,Greater St. Louis Region,United States of America,"Illinois, Missouri",,https://www.inaturalist.org/projects/city-nature-challenge-2026-st-louis,city-nature-challenge-2026-st-louis,265776.0
St. Petersburg,St. Petersburg; Leningrad Oblast,Russia,,St. Petersburg,https://www.inaturalist.org/projects/city-nature-challenge-2026-st-petersburg-and-leningrad-oblast,city-nature-challenge-2026-st-petersburg-and-leningrad-oblast,263275.0
St. Pölten,St. Pölten,Austria,,Lower Austria,https://www.inaturalist.org/projects/city-nature-challenge-2026-st-poelten,city-nature-challenge-2026-st-poelten,265289.0
Stoke-on-Trent,Staffordshire & Stoke-on-Trent,England,,West Midlands,https://www.inaturalist.org/projects/city-nature-challenge-2026-staffordshire-stoke-on-trent,city-nature-challenge-2026-staffordshire-stoke-on-trent,265205.0
Modesto,Stanislaus County,United States of America,California,,https://www.inaturalist.org/projects/city-nature-challenge-2026-stanislaus-county,city-nature-challenge-2026-stanislaus-county,275079.0
State College Borough,State College Borough,United States of America,Pennsylvania,,https://www.inaturalist.org/projects/city-nature-challenge-2026-state-college-borough,city-nature-challenge-2026-state-college-borough,274931.0
Steyr,Steyr,Austria,,Steyr,https://www.inaturalist.org/projects/city-nature-challenge-2026-steyr,city-nature-challenge-2026-steyr,266708.0
Dover,Strafford County,United States of America,New Hampshire,,https://www.inaturalist.org/projects/city-nature-challenge-2026-strafford-county,city-nature-challenge-2026-strafford-county,271955.0
Sunshine Coast,Sunshine Coast,Australia,,Queensland,https://www.inaturalist.org/projects/city-nature-challenge-2026-sunshine-coast-australia,city-nature-challenge-2026-sunshine-coast-australia,266322.0
Tagum City,"Tagum City, Philippines",Philippines,,Davao del Norte,https://www.inaturalist.org/projects/city-nature-challenge-2026-tagum-city-philippines,city-nature-challenge-2026-tagum-city-philippines,274095.0
Tainan,Tainan,Taiwan,,-,https://www.inaturalist.org/projects/city-nature-challenge-2026-tainan,city-nature-challenge-2026-tainan,272361.0
Taipei,Taipei,Taiwan,,-,https://www.inaturalist.org/projects/city-nature-challenge-2026-taipei,city-nature-challenge-2026-taipei,272355.0
Taitung,Taitung-Pingtung,Taiwan,,-,https://www.inaturalist.org/projects/city-nature-challenge-2026-taitung-pingtung,city-nature-challenge-2026-taitung-pingtung,272364.0
Auckland,Auckland/Tāmaki Makaurau,New Zealand,,Auckland,https://www.inaturalist.org/projects/city-nature-challenge-2026-tamaki-makaurau-auckland-8cb6c4c7-5191-401b-a5d9-ec5b34fa5138,city-nature-challenge-2026-tamaki-makaurau-auckland-8cb6c4c7-5191-401b-a5d9-ec5b34fa5138,272136.0
Taoyuan,Taoyuan,Taiwan,,-,https://www.inaturalist.org/projects/city-nature-challenge-2026-taoyuan,city-nature-challenge-2026-taoyuan,272363.0
Wellington,Te Upoko o te Ika/ Wellington Region,New Zealand,,Wellington Region,https://www.inaturalist.org/projects/city-nature-challenge-2026-te-upoko-o-te-ika-wellington,city-nature-challenge-2026-te-upoko-o-te-ika-wellington,270099.0
Wilmington,Team Coastal NC,United States of America,North Carolina,,https://www.inaturalist.org/projects/city-nature-challenge-2026-team-coastal-nc,city-nature-challenge-2026-team-coastal-nc,267345.0
Tehran,Tehran,Iran,,Tehran,https://www.inaturalist.org/projects/city-nature-challenge-2026-tehran,city-nature-challenge-2026-tehran,264462.0
Tel Aviv,Tel Aviv - Yafo,Israel,,Tel Aviv - Yafo/Israel,https://www.inaturalist.org/projects/city-nature-challenge-2026-tel-aviv,city-nature-challenge-2026-tel-aviv,265199.0
Leverano,Terra d'Arneo,Italy,,Lecce,https://www.inaturalist.org/projects/city-nature-challenge-2026-terra-d-arneo-puglia-italy,city-nature-challenge-2026-terra-d-arneo-puglia-italy,272389.0
Myrtle Beach,The Grand Strand South Carolina,United States of America,South Carolina,,https://www.inaturalist.org/projects/city-nature-challenge-2026-the-grand-strand,city-nature-challenge-2026-the-grand-strand,265128.0
Providence,The State of Rhode Island,United States of America,Rhode Island,,https://www.inaturalist.org/projects/city-nature-challenge-2026-the-state-of-rhode-island,city-nature-challenge-2026-the-state-of-rhode-island,265130.0
Thessaloniki,Thessaloniki,Greece,,Thessaloniki,https://www.inaturalist.org/projects/city-nature-challenge-2026-thessaloniki,city-nature-challenge-2026-thessaloniki,272765.0
Kamloops,Thompson Nicola Regional District,Canada,,British Columbia,https://www.inaturalist.org/projects/city-nature-challenge-2026-thompson-nicola-regional-district,city-nature-challenge-2026-thompson-nicola-regional-district,270247.0
Thung Song Municipality,Thung Song City,Thailand,,Nakhon Si Thammarat,https://www.inaturalist.org/projects/city-nature-challenge-2026-thung-song-city,city-nature-challenge-2026-thung-song-city,273788.0
